"Año","NOM_MUN","Localidad","Fuente.de.Abastecimiento","Coliformes.Totales..Ausencia.o.Presencia.100mL","E..Coli.Ausencia.o.Presencia.100mL","Arsenico.mg.L","Bario.mg.L","Cadmio..mg.L","Cobre.mg.L","Hierro..mg.L","Manganeso.mg.L","Plomo.mg.L","Zinc.mg.L","Cianuros..mg.L","Cloro.residual..mg.L","Cloruros..mg.L","Dureza.Total.mg.L","Fluoruros..mg.L","Nitratos.mg.L","Nitritos..mg.L","pH","SDT.mg.L","Sulfatos..mg.L","Cloro.Total..mg.L","Conductividad..µS.cm","Temperatura...C"
2012,"Atlapexco","El Panteon","Tanque El Panteón","Presencia","Presencia",0,"ND","ND",0.469,0.119,"ND","0.0",0.003,"0.005","0.03","46.75","331.1078","0.1","0.3","0.005","7.69","194.4","2.5","0.06","560.0","27.6"
2012,"Atlapexco","La Pena","Manantial La Peña","Presencia","Presencia",0,"ND","ND",0.429,0.079,"ND","0.0",0.035,"0.003","0.0","57.5","306.6636","0.1","0.9","0.0105","7.2","263.0","25.0","0.0","519.0","26.2"
2012,"Atotonilco el Grande","Los Tapancos","Manantial","Presencia","Presencia",0,"0.0","ND",0,0,"0.0","0.0",0.018,"0.0","0.0","55.25","104.4434","0.1","0.0","0.0","6.5","95.1","30.0","0.0","198.7","18.9"
2012,"Calnali","Barrio Nuevo","Manantial Barrio Nuevo","Presencia","Ausencia",0,"ND","ND",0,0.065,"ND","0.019",0.033,"0.005","0.02","53.75","99.999","0.01","3.5","0.0119","6.26","33.0","5.0","0.04","40.9","26.4"
2012,"Calnali","Barrio San Juan Mezcalpa","Manantial Mezcalpa","Presencia","Presencia",0.001,"ND","ND",0.491,0.018,"ND","0.018",0.098,"0.005","0.06","49.5","39.9996","0.05","0.4","0.0022","6.43","19.7","0.8","0.05","40.9","23.3"
2012,"El Arenal","Colonia 20 De Mayo","Pozo Solidaridad","Presencia","Ausencia",0,"ND","ND",0.691,0.059,"0.2","0.0",0.02,"0.01","0.03","193.5","317.7746","0.0","0.5","0.0026","6.98","517.0","125.0","0.03","1021.0","26.8"
2012,"La Misión","Barrio Santa Maria","Manantial El Centro","Presencia","Presencia",0,"ND","ND",0.469,0.011,"0.025","0.001",0.08,"0.005","0.0","88.75","166.665","0.2","1.5","0.0146","7.87","239.0","37.5","0.0","465.0","23.0"
2012,"Mineral del Chico","El Paraiso","Tanque","Presencia","Presencia",0,"ND","ND",0.465,0.062,"0.2","0.0",0.045,"0.008","0.08","50.75","108.8878","0.0","0.9","0.0073","7.86","54.0","0.0","0.08","106.1","15.3"
2012,"Tianguistengo","Las Cantinas","Pozo San Antonio","Presencia","Presencia",0,"ND","ND",0.015,0.059,"ND","0.002",0.033,"0.005","0.11","44.0","88.888","0.19","1.4","0.102","7.46","21.0","17.5","0.12","41.1","17.5"
2013,"Calnali","Texcaco","Pozo Mohai","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.0",0.04,"0.002","0.0","4.5","124.44","0.1","1.0","0.0033","8.07","118.0","0.0","0.0","256.0","18.7"
2013,"Huejutla de Reyes","Tlahuatempa","Pozo Pto Bangando","Ausencia","Ausencia",0,"0.0","ND",0.01,0,"0.0","0.0",0.02,"0.002","0.0","45.1","236.66","0.0","0.11","0.0","7.5","206.0","80.8","0.1","419.0","28.6"
2013,"San Felipe Orizatlán","Acuapa","Planta Potabilizadora","Ausencia","Ausencia",0,"0.0","ND",0.89,0,"0.0","0.0",0.09,"0.0","0.0","36.8","133.33","0.55","0.0","0.002","7.02","266.0","76.0","0.04","553.0","28.1"
2013,"Tianguistengo","San Jose Las Cruces","Tanque San José Las Cruces","Presencia","Ausencia",0,"0.0","ND",0.182,0,"0.0","0.182",0,"0.002","0.04","40.0","90.0","0.1","1.0","0.009","7.98","18.5","14.7","0.0","16.94","17.8"
2014,"Lolotla","Santiago Tezontlale","Manantial Autiapa","Presencia","Ausencia",0,"0.0","ND",0.22,0.04,"0.1","0.0",0.01,"0.003","0.2","3.0","62.22","0.12","1.0","0.002","6.41","37.1","2.0","0.1","77.8","29.2"
2014,"Mineral del Chico","Plan Grande","Túnel Neptón","Presencia","Ausencia",0,"0.0","ND",0.02,0.07,"0.1","0.0",0.13,"0.002","0.09","2.5","233.33","0.88","0.7","0.001","7.66","580.0","120.0","0.0","634.0","23.6"
2014,"Progreso de Obregón","Col. Tenhe (Mixquiahuala)","Cárcamo Teñhe","Ausencia","Presencia",0.01,"0.0","ND",0.01,0,"0.1","0.001",0.08,"0.007","2.2","129.1","135.55","0.59","2.4","0.002","6.98","123.5","120.0","2.8","887.0","21.3"
2014,"San Agustín Metzquititlán","Ixcuinquilapilco","Pozo Temoaya","Presencia","Presencia",0,"0.0","ND",0.2,0.06,"0.0","0.0",0.06,"0.004","0.1","101.0","136.66","0.8","1.3","0.002","7.69","241.0","18.0","0.07","550.0","29.3"
2014,"San Agustín Metzquititlán","San Juan Solis","Pozo La Vega","Presencia","Presencia",0,"0.0","ND",0.2,0.01,"0.0","0.0",0.03,"0.002","0.0","76.4","167.77","0.8","1.7","0.003","7.66","236.0","15.0","0.0","684.0","21.0"
2014,"Santiago Tulantepec de Lugo Guerrero","Potrerillos","Río","Presencia","Presencia",0.028,"0.7","ND",0,0.383,"1.3","0.012",0.032,"0.0","0.03","5.25","222.22","0.11","1.4","0.006","7.61","11.2","48.9","0.02","244.0","18.5"
2015,"Eloxochitlán","Almolaya","Manantial El Cedral","Presencia","Ausencia",0,"0.0","ND",0.78,0.01,"0.0","0.0",0.04,"0.004","0.01","1.7","133.34","0.0","0.4","0.008","7.6","65.5","10.0","0.02","234.14","20.9"
2015,"Francisco I. Madero","El Quince","Pozo El Mexe","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.001",0.02,"0.0","0.1","25.2","177.11","0.39","1.5","0.0","7.31","662.0","78.0","0.2","1338.0","23.5"
2016,"Actopan","Agua Blanca De Iturbide","Manantial Ojo de Agua","Presencia","Presencia",0,"0.0","ND",0.7,0.07,"0.0","0.0",0.03,"0.004","0.0","47.6","78.87","0.0","0.0","0.007","7.9","80.4","0.0","0.01","27.0","20.3"
2016,"Actopan","Agua Blanca De Iturbide","Manantial La Tarjea","Presencia","Presencia",0,"0.0","ND",0.07,0.06,"0.0","0.0",0.02,"0.005","0.0","11.7","66.66","0.0","0.0","0.003","8.45","90.7","10.9","0.01","27.1","20.9"
2016,"Agua Blanca de Iturbide","Ajacuba","Pozo Ajacuba","Presencia","Ausencia",0,"0.0","ND",0.04,0,"0.0","0.0",0.1,"0.001","0.0","64.6","311.1","0.3","1.5","0.003","7.26","471.0","81.0","0.0","960.0","25.3"
2016,"Agua Blanca de Iturbide","Vicente Guerrero","Pozo El Mezquite","Presencia","Ausencia",0,"0.0","ND",0,0.01,"0.0","0.0",0.08,"0.0","0.0","52.1","348.88","0.11","0.5","0.005","7.29","563.0","86.0","0.0","1142.0","22.2"
2016,"Ajacuba","La Huapilla","Pozo Huapilla","Presencia","Ausencia",0,"0.0","ND",0.03,0.03,"0.0","0.0",0.06,"0.005","0.03","105.8","399.99","0.47","5.6","0.005","7.9","836.0","86.0","0.1","1015.0","26.8"
2016,"Ajacuba","San Francisco Sacachichilco","Pozo San Francisco","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.0",0.07,"0.001","0.15","30.6","226.66","0.63","0.8","0.0","7.68","300.0","33.0","0.0","1145.0","21.7"
2016,"Alfajayucan","Almolaya","Manantial La Alberca","Presencia","Ausencia",0,"0.0","ND",0.38,0,"0.0","0.0",0.08,"0.0","0.0","7.5","168.88","0.0","2.1","0.013","7.4","139.1","8.0","0.01","288.0","20.7"
2016,"Alfajayucan","Almolaya","Pozo Cobaeh","Presencia","Ausencia",0,"0.0","ND",1.22,0.01,"0.0","0.0",0.09,"0.001","0.1","14.9","182.22","0.008","1.7","0.007","7.7","146.5","6.0","0.2","282.0","20.7"
2016,"Almoloya","Apan","Pozo Espejel","Presencia","Ausencia",0,"0.0","ND",0.13,0,"0.0","0.0",0.12,"0.001","0.0","10.3","213.33","0.37","3.3","0.013","7.1","221.0","11.0","0.01","274.0","22.1"
2016,"Almoloya","Apan","Pozo No. 2","Presencia","Ausencia",0,"0.0","ND",0.03,0,"0.0","0.0",0.09,"0.002","0.01","12.8","177.77","0.0","3.1","0.008","7.85","196.6","10.0","0.2","407.0","23.0"
2016,"Apan","Atlapexco","Río Atlapexco","Presencia","Presencia",0,"0.0","ND",0.223,0.01,"0.0","0.0",0,"0.001","0.01","46.61","288.88","0.3","0.39","0.037","7.59","168.1","34.2","0.02","258.0","38.1"
2016,"Apan","Tecolotitla","Manantial Tecolotitla","Presencia","Ausencia",0,"0.0","ND",0.2,0.004,"0.0","0.0",0,"0.001","0.0","45.2","272.21","0.3","0.17","0.002","8.25","176.3","6.0","0.01","263.0","33.7"
2016,"Atlapexco","Agua Limpia","Manantial Ojo de Agua","Presencia","Presencia",0,"0.0","ND",0.12,0,"0.0","0.0",0.01,"0.0","0.1","3.6","182.22","0.22","0.2","0.0","6.07","216.0","55.0","0.0","137.5","18.0"
2016,"Atlapexco","Calnali","Río Calnali","Presencia","Presencia",0,"0.0","ND",0.1,0,"0.0","0.0",0.03,"0.001","0.0","33.0","92.2","0.12","0.11","0.0","7.35","116.2","0.0","0.01","503.0","26.2"
2016,"Atlapexco","Santa Maria Amajac","Manantial Amajac","Presencia","Presencia",0,"0.0","ND",0.43,0,"0.0","0.0",0.02,"0.001","0.1","5.2","253.33","0.65","0.4","0.001","7.49","288.0","95.0","0.1","856.0","27.4"
2016,"Atotonilco el Grande","Pezmatlan","Manantial Chicuapa","Presencia","Presencia",0,"0.0","ND",0.03,0.02,"0.0","0.0",0.01,"0.002","0.0","4.5","85.2","0.52","0.9","0.004","7.41","49.5","4.2","0.01","65.7","24.3"
2016,"Atotonilco el Grande","Pozuelos","Pozo Pozuelos","Presencia","Ausencia",0,"0.0","ND",0.01,0,"0.0","0.0",0.03,"0.002","0.0","26.7","326.66","0.4","0.9","0.001","7.53","146.7","40.0","0.0","532.0","28.1"
2016,"Calnali","San Antonio Sabanillas","Pozo Mohai","Presencia","Ausencia",0,"0.0","ND",0.3,0.04,"0.0","0.0",0.3,"0.005","0.1","20.6","186.82","0.6","1.1","0.01","7.9","137.0","60.7","0.1","311.0","29.6"
2016,"Calnali","Santa Maria Amealco","Manantial La Pila","Presencia","Presencia",0,"0.0","ND",0.17,0,"0.0","0.0",0.07,"0.0","0.07","9.6","199.99","0.88","3.2","0.0","7.83","216.0","19.0","0.02","447.0","23.5"
2016,"Cardonal","Chapantongo","Pozo El Deca","Presencia","Ausencia",0,"0.0","ND",0.7,0,"0.0","0.0",0.06,"0.0","0.06","2.8","111.11","0.38","1.6","0.0","8.0","125.0","0.0","0.07","494.0","30.8"
2016,"Cardonal","Iglesia Vieja (Iglesia Nueva)","Manantial Poza Azul","Presencia","Presencia",0,"0.0","ND",0.11,0.09,"0.8","0.0",0.08,"0.077","0.0","66.4","368.88","2.06","9.0","0.576","7.73","740.0","50.0","0.0","1360.0","27.0"
2016,"Chapantongo","Neblinas","Manantial Neblinas","Presencia","Presencia",0,"0.0","ND",0,0,"0.0","0.0",0.05,"0.0","0.0","5.4","257.77","0.2","1.8","0.005","7.58","206.0","5.0","0.0","390.0","25.6"
2016,"Chapulhuacán","Xayahualulco","Pozo Xayahualulco","Presencia","Ausencia",0,"0.0","ND",0.03,0.79,"0.1","0.0",0.04,"0.008","0.07","6.9","77.77","0.09","6.5","0.013","7.47","118.3","24.0","0.23","128.3","20.3"
2016,"Chilcuautla","San Juan Hueyapan","Pozo Las Peñitas","Presencia","Ausencia",0,"0.0","ND",1.15,0,"0.0","0.0",0.02,"0.0","0.0","6.6","106.66","0.4","0.9","0.002","7.24","88.2","0.0","0.0","177.5","26.4"
2016,"Chilcuautla","Xayahualulco","Tanque de Almacenamiento","Presencia","Ausencia",0,"0.0","ND",0.2,0.87,"0.4","0.0",0.16,"0.007","0.13","6.3","66.66","0.06","4.9","0.017","6.66","132.0","32.0","0.3","146.1","22.2"
2016,"Cuautepec de Hinojosa","El Bocja","Pozo Bocja","Presencia","Ausencia",0,"0.0","ND",0.09,0.02,"0.0","0.0",0.06,"0.001","0.23","130.9","333.33","0.72","2.3","0.005","7.45","389.0","117.0","0.31","2003.0","26.9"
2016,"Cuautepec de Hinojosa","San Jeronimo","Captación El Llano","Presencia","Ausencia",0,"0.0","ND",1.4,0.04,"0.0","0.0",0.09,"0.0","0.04","2.5","104.44","0.54","0.6","0.004","7.09","1053.0","2.0","0.03","79.7","15.9"
2016,"Cuautepec de Hinojosa","San Pedro Gilo (Gilo)","Manantial El Rejalgar","Presencia","Presencia",0,"0.0","ND",0.47,0,"0.0","0.0",0.15,"0.0","0.01","3.3","182.22","0.17","0.7","0.001","7.28","156.2","1.0","0.02","277.0","21.2"
2016,"El Arenal","Eloxochitlan","Manantial Acatitlán","Presencia","Presencia",0,"0.0","ND",0.66,0,"0.0","0.0",0.07,"0.008","0.0","24.6","377.77","0.24","5.2","0.006","6.88","446.0","39.0","0.0","277.0","22.2"
2016,"El Arenal","Tepatepec","Pozo Profundo ""El Mexe""","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.001",0.06,"0.0","0.0","27.2","182.22","0.4","1.9","0.0","7.27","672.0","80.0","0.0","675.0","25.4"
2016,"Eloxochitlán","La Loma","Manantial Las Jarillas","Presencia","Ausencia",0,"0.0","ND",0,0.04,"0.0","0.0",0.03,"0.001","0.1","43.2","84.44","0.0","0.7","0.06","6.67","33.6","0.0","0.2","73.6","21.7"
2016,"Eloxochitlán","San Miguel Regla","Manantial San Miguel","Presencia","Ausencia",0,"0.0","ND",0.23,0,"0.0","0.0",0.06,"0.001","0.1","4.3","202.22","0.42","0.3","0.007","6.84","197.0","1.6","0.1","46.2","18.5"
2016,"Francisco I. Madero","Los Cerezos","Cárcamo de Bombeo","Presencia","Ausencia",0,"0.0","ND",0.13,0.02,"0.0","0.0",0.01,"0.001","0.19","14.4","243.43","0.21","0.9","0.003","6.75","261.0","22.0","0.0","592.0","27.0"
2016,"Huasca de Ocampo","Huazalingo","Manantial Xolotzingo","Presencia","Ausencia",0,"0.0","ND",0.1,0,"0.0","0.0",0.24,"0.002","0.0","55.55","211.11","0.1","1.5","0.06","6.64","38.9","22.2","0.0","27.6","23.2"
2016,"Huasca de Ocampo","Tamoyon I","Tanque de Almacenamiento Tamoyon I","Presencia","Ausencia",0,"0.0","ND",0.2,0,"0.0","0.0",0.02,"0.001","0.13","33.3","263.3","0.4","0.4","0.0","6.71","253.3","34.2","0.46","544.0","28.2"
2016,"Huautla","Huazalingo","Manantial La Cruz","Presencia","Ausencia",0,"0.0","ND",0.42,0,"0.0","0.0",0,"0.001","0.0","3.6","24.24","0.14","0.1","0.011","7.05","16.7","0.0","0.0","27.8","23.0"
2016,"Huautla","Huehuetla","Tanque de Almacenamiento","Presencia","Ausencia",0,"0.0","ND",0.1,0,"0.0","0.0",0.2,"0.002","0.01","45.6","137.76","0.0","0.1","0.01","7.34","261.1","0.0","0.02","883.0","24.7"
2016,"Huazalingo","Huehuetla","Manantial El Potrero","Presencia","Presencia",0,"0.0","ND",0.01,0,"0.0","0.0",0.1,"0.001","0.0","6.4","124.44","0.0","0.1","0.002","7.41","341.12","7.5","0.01","872.0","25.0"
2016,"Huazalingo","Huejutla De Reyes","Pozo Fracc. Santa Elena","Presencia","Ausencia",0,"0.0","ND",0.05,0.01,"0.0","0.0",0.11,"0.004","0.0","18.4","336.36","0.19","0.1","0.003","7.25","154.4","32.0","0.04","346.0","24.6"
2016,"Huehuetla","Minas Viejas","Manantial Encarnación","Presencia","Presencia",0,"0.0","ND",0,0,"0.0","0.0",0.53,"0.001","0.0","5.3","184.44","0.0","1.0","0.003","8.14","176.9","2.0","0.0","584.0","21.6"
2016,"Huehuetla","Teacala","Cárcamo de Bombeo","Presencia","Ausencia",0,"0.0","ND",0.04,0,"0.0","0.0",0.08,"0.001","0.0","27.2","255.55","0.14","0.3","0.004","7.14","165.5","33.0","0.04","649.0","26.4"
2016,"Huejutla de Reyes","Agua Fria Grande","Manantial El Molino","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.0",0.09,"0.0","0.0","5.3","357.77","0.13","1.4","0.004","7.53","302.0","4.0","0.0","468.0","26.0"
2016,"Huejutla de Reyes","Jaltocan","Cárcamo La Capilla","Presencia","Ausencia",0,"0.0","ND",0.04,0.04,"0.0","0.0",0,"0.022","0.0","14.5","372.22","0.53","0.12","0.003","6.97","121.0","59.0","0.0","278.0","25.1"
2016,"Jacala de Ledezma","Juarez","Manantial Los Tubos","Presencia","Presencia",0,"0.0","ND",0.56,0,"0.0","0.0",0.07,"0.0","0.0","6.5","133.33","0.17","1.0","0.0","7.12","106.0","6.0","0.01","27.8","20.1"
2016,"Jacala de Ledezma","Revolucion Mexicana","Cárcamo Revolución Mexicana","Presencia","Ausencia",0,"0.0","ND",0.76,0,"0.0","0.0",0.03,"0.001","0.0","10.5","166.66","0.13","1.6","0.004","7.09","176.66","13.2","0.0","247.0","30.4"
2016,"Jaltocán","Juarez","Manantial La Campana","Presencia","Presencia",0,"0.0","ND",0.18,0,"0.0","0.0",0.08,"0.0","0.01","4.7","199.99","0.1","1.0","0.001","6.97","184.7","3.0","0.02","27.8","20.4"
2016,"Jaltocán","Puerto La Piedra","Manantial Río Amajac","Presencia","Presencia",0,"0.0","ND",0,0,"0.0","0.0",1.3,"0.001","0.0","17.4","162.22","0.4","1.0","0.004","8.04","125.5","82.0","0.0","553.0","18.5"
2016,"Juárez Hidalgo","La Mision","Tanque de La Bomba","Presencia","Ausencia",0,"0.0","ND",0.01,0,"0.0","0.0",0.79,"0.001","0.0","6.2","186.66","0.0","1.5","0.006","7.63","153.6","4.0","0.0","316.0","23.9"
2016,"Juárez Hidalgo","Lolotla","Manantial Hueyotipa","Presencia","Presencia",0,"0.0","ND",0.26,0,"0.0","0.0",0,"0.004","0.0","3.5","66.66","0.09","1.1","0.003","7.12","34.3","2.7","0.01","120.0","27.1"
2016,"La Misión","Metepec","Manantial La Bomba","Presencia","Ausencia",0,"0.0","ND",0.7,0.01,"0.0","0.0",0.9,"0.002","0.0","9.1","233.32","0.3","1.0","0.004","7.99","126.7","10.0","0.01","556.0","23.6"
2016,"La Misión","Tetlapaya","Manantial","Presencia","Presencia",0,"0.0","ND",0.19,0.02,"0.0","0.0",0.01,"0.001","0.01","3.3","54.44","0.1","1.0","0.003","6.84","38.3","2.9","0.02","72.0","21.0"
2016,"Lolotla","Itztazacuala","Manantial","Presencia","Presencia",0.01,"0.0","ND",0.28,0.13,"0.11","0.005",0.51,"0.05","0.01","6.7","445.55","0.45","1.4","0.7","7.4","857.0","82.0","0.02","278.0","25.2"
2016,"Lolotla","Metepec","Manantial Las Tortugas","Presencia","Presencia",0,"0.0","ND",0.2,0,"0.0","0.0",0.04,"0.005","0.01","60.9","113.33","0.9","0.3","0.004","8.0","242.2","14.7","0.02","350.0","24.0"
2016,"Metepec","Carboneras","Tanque de Distribución","Presencia","Ausencia",0,"0.0","ND",0.4,0.07,"0.0","0.0",0.11,"0.002","0.1","63.1","133.33","0.0","0.1","0.006","7.31","79.5","0.0","0.1","71.3","14.0"
2016,"Metepec","Tecruz Copaza","Pozo Tecruz Copaza","Presencia","Presencia",0,"0.0","ND",0.13,0,"0.12","0.0",1.1,"0.03","0.0","28.1","436.99","1.03","8.6","0.216","7.49","993.0","78.0","0.01","276.0","23.2"
2016,"Metztitlán","Colonia Tenhe","Pozo Teñhe","Presencia","Ausencia",0.01,"0.0","ND",0.04,0.05,"0.0","0.001",0.05,"0.004","0.0","46.7","212.12","0.17","0.11","0.007","7.11","593.0","112.0","0.01","1202.0","28.3"
2016,"Metztitlán","Mineral Del Chico","Tanque Los Laureles","Presencia","Ausencia",0,"0.0","ND",0,0.02,"0.0","0.0",0.06,"0.001","0.1","42.2","111.11","0.0","0.8","0.005","7.02","66.4","0.0","0.1","37.0","14.9"
